name,latitude,longitude
ОУ „Самара“,42.429061,25.6519546
Пето ОУ „Митьо Станев“,42.4224972,25.6170189
Търговска гимназия „Княз Симеон Търновски“,42.4267897,25.6343363
Професионална гимназия по компютърни науки и математически анализи "Минко Балкански",42.4268796,25.6460977
Начално училище "Димитър Благоев",42.426715,25.6377189
СУ „Иван Вазов“,42.4248191,25.6382514
ПГ по електроника "Джон Атанасов",42.4255002,25.6500526
ОУ Климент Охридски,41.8205213,23.5636264
СУ "Неофит Рилски",41.8404144,23.4878253
НУ "Отец Паисий",41.8357369,23.4859238
Четвърто ОУ „Кирил Христов“,42.4332447,25.6337267
СУ „Христо Ботев“ / Първо ОУ „Георги Бакалов“,42.4294584,25.6181196
ПГСАГ „Лубор Байер“,42.4272502,25.6282497
Дванадесето ОУ „Стефан Караджа“,42.4326873,25.6056313
ПГСД „Инж. Недьо Ранчев“,42.4238613,25.6066732
ОУ „Георги Райчев“,42.4230824,25.6027463
Единадесето ОУ „Николай Лилиев“,42.4166591,25.6047558
Тринадесето ОУ „Св. Паисий Хилендарски“,42.415834,25.6121873
ПГ по ветеринарна медицина "Иван Павлов",42.4088082,25.6398911
СУ "Железник",42.4124702,25.5863174
СОУ "Стоян Загорчинов",42.1381089,24.7459853
СОУ "Климент Охридски",42.1367526,24.7387151
СОУ "Патриарх Евтимий",42.1394313,24.7486982
Национална Търговка Гимназия,42.1426595,24.7403027
21 ОУ "Алеко Константинов",42.1463959,24.7420246
СОУ "Черноризец храбър",42.1415592,24.7945075
СОУ "Димитър Матеевски",42.1387199,24.795446
Спортно СОУ "Васил Левски",42.1465981,24.7168333
7 ОУ,42.5993138,23.0328961
Гимназия по пластични изкуства и дизайн "Акад. Д. Узунов",42.6269346,25.3968269
ОУ "Васил Левски",42.1962713,25.3280682
ОУ "Асен II",42.1921357,25.33176
ПГ по кожени изделия и текстил,42.1666607,24.7457104
СОУ "Христо Данов",42.16182,24.7502316
СОУ "Никола Вапцаров",42.1628521,24.7563588
СОУ "П. Яворов",42.1600938,24.7391955
ОУ "Васил Левски",42.5807371,25.3701967
137 ОУ Ангел Кънчев,42.725875,23.2597294
140 СУ Иван Богоров,42.7459842,23.2749443
12-то СОУ "Елисавета Багряна",42.6886955,26.3452544
11 СОУ "Константин Константинов",42.6792334,26.3486985
8 СОУПЧЕ,43.2112434,27.9145716
ОУ „Васил Левски“,42.1424285,24.7657695
ОУ "Душо Хаджидеков",42.1391293,24.7559453
СОУ "Паисий Хилендарски",42.141382,24.7580461
ОУ "Паисий Хилендарски",42.2571994,26.6301059
ПГ по МСС "Че Гевара",42.2556306,26.6239242
ОУ "Димчо Дебелянов",42.1559127,24.79022
СОУ "Найден Геров",42.1522376,24.7822453
СОУ "Симон Боливар",42.1529421,24.7907947
ОУ "Васил Петлешков",42.1356429,24.7139438
СОУ "Антим I",42.1402182,24.7363467
СОУ "Св. Св. Кирил и Методий",42.1317252,24.7095269
Начално училище „Зора“,42.4304108,25.6847065
ОУ Христо Ботев,42.3438425,24.8081025
92 ОУ Димитър Талев,42.6933553,23.2809818
ОУ Йордан Йовков,43.2160386,27.9066667
ОУ "Св. Св. Кирил и Методий",42.3939385,26.3010555
Професионална гимназия по компютърно програмиране и иновации (ПГКПИ),42.4556753,27.4002312
2 ОУ "Паисий Хилендарски",42.2921578,25.9330372
СОУ "Антим I",41.381569,25.0990431
ОУ "Васил Левски",41.3820773,25.0902608
Гимназия по битова техника,42.145411,24.7540264
ОУ "Гео Милев",42.1468255,24.7535482
Музикална академия,42.1476464,24.7505666
Спортна Зала ПМГ,41.9350877,25.5643375
ПМГ "Акад. Боян Петканчин",41.9353044,25.5636056
ОУ "Неофит Рилски",42.1059263,24.8478561
Начално училище "Свети Климент Охридски",42.2069028,25.3215639
НЧ "Димитър Данаилов",42.2010038,25.3218977
93 СОУ Александър Тодоров-Балан,42.6818135,23.3622474
ОУ "Отец Паисий",43.4295295,23.7529308
Гимназия по Транспорт "Коста Петров",43.4260333,23.7505841
ОУ Св. Св. Кирил и Методий,42.820462,27.8801663
ПГ по земеделие,43.7077136,28.0325925
СОУ Никола Й. Вапцаров,43.6991899,28.038032
ОУ Христо Смирненски,43.6970431,28.036986
23-та ЦДГ "Кипарис",42.4314778,25.6206217
Христо Смирненски,42.1520761,24.740244
ОУ "Райна Княгиня",42.1565419,24.7324983
ПГ по лесотехника "Никола Й.Вапцаров",41.8396275,23.4910484
ПГ по Електротехника,41.8420774,23.4917904
ПГ по селско стопанство и туризъм,41.8407616,23.4935123
132 СУ Ваня Войнова,42.6776692,23.2760648
25 ОУ Д-р Петър Берон,42.6813102,23.2860356
СОУ "Цветан Спасов",43.4115177,24.6194542
ОУ "Васил Левски",43.4027092,24.6222386
СОУ Христо Смирненски,43.4082818,24.6314611
СОУ "Пейо Яворов",43.4194386,24.5956112
ПГ по Транспорт "Проф. Цветан Лазаров",43.4186245,24.593518
МГ "Гео Милев",43.4195751,24.5928258
Техникум по Строителна Механизация,43.418609,24.593561
Помощно училище "Любен Каравелов",42.4306904,25.6280305
ОУ "Йордан Йовков",43.4006747,24.6200768
СУ "Елин Пелин",43.2083801,27.8958362
ЦДГ „Пролет“,42.4302637,25.6247007
Христо Ботев,42.5425683,25.579301
14 СУ „Проф. д-р Асен Златаров“,42.7093511,23.3110378
НУ "Христо Ботев",42.1606641,24.7435356
ОУ "Панайот Волов",42.1616982,24.7212475
ПГ по хранителни технологии,42.1667265,24.7243521
